S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
66,VI,66,Agaram (North),1.344,1.853,2.18,2.42,2.47,2.48,2.52,1.96,1.88,1.85,1.26,3.123
67,VI,67,Agaram (South),6.579,7.643,8.62,9.642,9.92,10.36,10.076,10.251,10.28,10.28,6.37,7.531
68,VI,68,Sembium,7.44,8.624,9.52,10.249,10.43,10.87,10.521,10.723,10.68,10.72,6.16,8.172
69,VI,69,Siruvallur,0,0,0,0,0,0,0,0,,0,,0.564
70,VI,70,Perambur (South),17.817,17.367,17.13,17.403,17.06,16.83,16.633,16.444,16.25,16.15,14.77,15.97
71,VI,71,Thiru Vi Ka Nagar,13.972,14.458,15.27,15.388,15.51,15.65,15.334,15.282,15.14,15.09,13.51,14.99
72,VI,72,Dr Sathiyavanimuthu Nagar,2.4,2.966,3.32,4.012,4.02,3.37,3.253,3.149,3.29,3.42,2.23,2.203
73,VI,73,Pulianthope,7.008,8.052,9.22,10.019,10.13,9.89,9.77,9.77,9.72,9.72,9.72,10.575
74,VI,74,Maraimalai Adikal Nagar,13.124,12.85,12.55,12.484,12.38,11.98,11.851,11.489,11.32,11.32,11.32,12.388
75,VI,75,Kosappet,3.386,4.545,5.87,7.216,7.6,7.12,7.649,6.966,7.77,7.93,3.16,3.256
76,VI,76,Pattalam SC (G),,#REF!,14.55,14.82,14.54,14.55,14.55,14.55,14.55,14.55,14.55,15.696
77,VI,77,Dr. Besant Nagar/ Thattankulam,6.504,7.638,8.75,9.693,9.85,9.41,9.562,9.162,9.55,9.67,6.49,7.432
78,VI,78,Choolai,6.029,7.146,8.18,9.108,9.31,7.71,9.34,8.94,9.28,9.52,7.3,7.202
79,VII,79,Banu Nagar,1.344,4.557,7.62,10.596,11.21,10.12,8.587,10,10.55,8.49,0.63,1.85
80,VII,80,Athimulam Nagar,2.143,4.831,8.22,10.967,11.51,10.47,9.36,10.596,11.31,9.28,2.45,1.961
81,VII,81,Vijayalakshmipuram,3.62,6.189,8.488,11.37,11.91,2.91,11.553,11.831,2.79,2.68,6.2,6.72
82,VII,82,Kallikuppam,2.117,3.705,6.32,8.541,8.94,5.72,4.152,6,6.43,3.3,0.99,1.89
83,VII,83,Puthagaram,0.103,0.525,0.6,0.765,0.66,0.32,0.058,0.107,0.17,0.39,0.2,4.247
84,VII,84,Korattur,2.095,2.336,2.58,3.139,3.22,2.67,2.109,2.335,2.57,2.24,,1.395
85,VII,85,Menambedu,4.316,6.109,7.67,9.182,9.61,8.94,7.935,8.837,9.54,9.32,4.93,2.216
86,VII,86,Ayyappakkam,2.516,3.194,3.85,4.526,4.49,5.04,5.153,5.428,5.8,5.54,3.86,3.524
87,VII,87,Mathiyalagan Nagar,4.251,4.818,5.24,5.935,6.02,4.15,4.303,4.735,4.9,4.38,3.98,4.62
88,VII,88,Villivakkam / Anna Nagar West,5.926,6.821,7.47,8.26,8.28,6.65,6.327,6.726,6.78,6.29,5.31,5.341
89,VII,89,Anna Nagar West Extension,2.502,2.947,3.28,3.56,3.61,2.91,2.738,2.76,3.07,2.5,2.31,1.47
90,VII,90,Padikuppam,3.225,3.602,4.52,5.385,6.05,3.99,3.592,3.75,4.18,3.15,2.72,4.72
91,VII,91,Nolambur (Part) / Mugappair Eri Scheme,7.728,8.258,8.82,9.528,9.58,9.09,9.098,8.492,8.81,8.5,7.69,8.25
92,VII,92,Padi Pudhu nagar,3.807,4.461,4.8,5.266,5.19,4.26,4.265,3.797,4.17,3.48,3.6,4.13
93,VII,93,Maduravoyal (Part) / Nerkundram (Part),2.805,3.027,3.24,3.573,3.41,2.66,2.792,2.584,2.74,2.51,2.56,4.074
94,VIII,94,Villivakkam North,1.152,1.976,3.07,4.933,5.01,2.03,2.65,2.874,2.89,1.87,0.99,1.858
95,VIII,95,Vasantham Colony,5.345,5.574,6.68,7.182,7.02,5.99,6.009,6.009,6.06,5.9,4.34,5.699
96,VIII,96,Viduthalai Gurusamy Nagar South,4.491,5.243,5.8,6.215,6.35,5.78,5.892,6.108,6.09,6.19,6.45,4.643
97,VIII,97,Ayanavaram,1.543,2.427,2.96,3.534,3.43,2.84,2.852,3.035,3.14,3.08,0.43,2.416
98,VIII,98,Pannerselvam Nagar,0.558,0.974,1.24,1.507,1.56,1.14,1.282,1.36,1.47,1.24,0.47,0.514
99,VIII,99,Villivakkam South,6.764,7.582,8.75,9.729,9.6,8.61,8.341,8.166,8.23,7.23,6.16,5.997
100,VIII,100,Anna Nagar (West),4.619,5.807,7.03,8.959,9.09,7.78,8.403,7.53,7.71,7.32,5.04,4.901
101,VIII,101,Anna Nagar (Central),2.504,3.013,3.52,4.19,3.74,3.33,7.853,2.924,2.93,2.62,2.49,2.263
102,VIII,102,Anna Nagar (East),2.257,2.566,2.7,3.245,3.15,2.84,3.086,3,3,2.96,1.96,2.001
103,VIII,103,Shenoy Nagar,5.39,5.13,4.9,4.789,4.72,4.43,2.966,4.014,3.78,3.51,1.68,0.655
104,VIII,104,Purasawalkam,2.53,3.571,4.34,5.149,5.38,5.33,4.177,5.657,5.78,,2.68,1.648
105,VIII,105,Aminjikarai West,2.581,3.333,4.33,5.297,5.49,4.3,4.128,4.008,4.19,3.5,2.93,2.573
106,VIII,106,Aminjikarai East,1.919,2.486,3.07,3.538,3.55,2.96,4.217,3.013,3.46,2.92,1.92,1.669
107,VIII,107,Chetpet / Kilpauk South,5.285,5.682,6.1,6.466,6.55,6.7,3.064,6.832,6.86,6.68,4.7,4.113
108,VIII,108,Aminjikarai Central,1.251,1.416,1.92,2.335,2.42,6.7,6.713,1.444,6.86,6.68,4.7,5.336
109,IX,109,Periyar Nagar North,3.511,4.064,4.01,5.021,5.13,5.08,1.606,5.461,5.46,5.03,3.39,3.368
110,IX,110,Nungambakkam,4.839,5.84,6.97,7.893,8.05,10.95,5.31,8.398,8.28,7.79,5.44,5.583
111,IX,111,Thousand Lights,7.465,8.005,9.63,10.554,10.63,5.25,11.381,11.522,12.27,12.68,11.18,10.683
112,IX,112,Vadapalani East,3.543,4.119,4.82,5.413,5.74,8.25,5.559,5.597,5.73,5.01,4.12,3.969
113,IX,113,Nakkeerar Nagar,5.894,6.806,7.57,8.347,8.49,9.21,8.425,8.881,9.09,8.43,5.25,4.486
114,IX,114,Chepauk,2.839,3.676,4.44,0,5.27,5.21,8.461,5.724,5.9,5.84,5.92,3.014
115,IX,115,Amir mahal,2.904,3.899,4.731,5.555,5.72,5.47,5.657,6.133,6.42,6.12,6.25,3.143
116,IX,116,Thiruvallikeni,3.051,3.632,3.7,4.497,4.2,5.22,5.5,5.104,5.44,5.22,4.85,3.603
117,IX,117,Sathiyamoorthi Nagar,5.18,6.556,7.64,8.011,9.04,8.21,6.043,8.556,8.7,8.33,7.32,7.457
118,IX,118,Teynampet,4.359,5.942,7,7.586,7.56,7.97,9.317,8.467,8.82,8.76,6.76,5.169
119,IX,119,Azad Nagar North / South,4.437,5.467,6.38,7.075,6.93,7.1,8.086,7.661,7.76,7.19,5.24,4.931
120,IX,120,Krishnampet,2.15,5.477,3.53,3.999,4.09,3.92,4.62,4.306,4.41,4.46,2.55,2.752
121,IX,121,Vivekanandhapuram,1.738,2.977,2.36,2.879,2.67,2.23,4.216,2.549,2.47,2.41,1.66,1.773
122,IX,122,Alwarpet (South),8.786,1.933,11.66,12.764,13.02,13.07,14.024,14.912,13.96,12.89,10.42,9.812
