Location,Area No.,min_level,max_level,avg_level,change_2021_2024
Kamarajar Nagar South / East,X,3.895,6.1066666666666665,4.612041666666666,2.2116666666666664
Karambakkam,XI,1.2666666666666666,2.757,1.9324999999999999,-1.4903333333333335
Karapakkam,XV,2.1966666666666668,4.104333333333333,3.1351250000000004,-0.7465833333333336
Kathirvedu,III,7.98,13.663666666666666,10.659166666666668,-2.696666666666667
Kathivakkam,I,1.4299999999999995,3.3673333333333333,2.449272727272727,
Kavankarai,III,2.96125,4.77,3.5619791666666667,1.6180833333333329
Kodambakkam (S),X,1.65525,2.29,1.9099166666666667,0.35683333333333356
Kodambakkam North,X,1.4370833333333335,2.683333333333333,1.8928958333333332,-0.9066666666666665
Kodungaiyur (East),IV,2.676333333333333,3.403166666666667,2.986083333333333,-0.6531666666666669
Kodungaiyur (West),IV,2.59,4.56,3.8930000000000002,-1.9699999999999998
Kolathur,VI,1.399166666666667,2.2,1.7120208333333335,0.8008333333333333
Komaleeswaranpet,V,4.156666666666667,6.555833333333333,4.8392310606060605,-2.399166666666666
Kondithope / Peddunaickenpet,V,3.7625833333333336,3.9756666666666662,3.8785416666666666,-0.13566666666666638
Korattur,VII,2.33,2.8744166666666677,2.502172348484849,-0.5444166666666677
Korukkupet,IV,2.2278333333333333,4.358583333333335,2.891916666666667,-1.9152500000000012
Kosappet,VI,3.556666666666666,11.816583333333334,6.734166666666666,-8.259916666666667
Kottivakkam,XIV,2.8833333333333333,3.496833333333333,3.2553958333333335,-0.3952500000000003
Krishnampet,IX,3.4,7.808,4.732901515151515,-4.4079999999999995
Kumaran Nagar North / South,X,3.407083333333334,3.973333333333333,3.6778750000000002,0.48849999999999927
MGR Nagar,X,4.888916666666666,5.3875,5.118791666666667,-0.10749999999999993
Madhavaram,III,6.841333333333334,10.488,8.344083333333334,1.572
Madipakkam,XIV,0.9533333333333336,3.8359166666666673,2.3850208333333334,
Maduravoyal,XI,1.9023333333333328,2.786272727272727,2.3214848484848485,-0.23627272727272652
Maduravoyal (Part) / Nerkundram (Part),VII,2.60775,3.7779166666666666,3.008395833333333,-1.1279166666666667
Manali,I,4.37225,6.513333333333333,5.3224583333333335,1.2924999999999986
Manapakkam,XII,3.876666666666667,5.291499999999999,4.297166666666667,-1.4148333333333323
Maraimalai Adikal Nagar,VI,5.239999999999999,15.20958333333333,10.057791666666667,-9.969583333333329
Mathiyalagan Nagar,VII,4.095249999999999,5.137333333333333,4.6275625,-0.6373333333333333
Mathur,I,6.013333333333333,8.0815,6.9640208333333335,-2.0681666666666674
Meenakshiammanpet,V,3.44,6.39375,4.514333333333333,-2.95375
Meenampakkam,XII,3.5720000000000005,4.726666666666667,4.069708333333334,0.984833333333333
Menambedu,VII,7.319333333333333,9.629083333333332,8.048354166666666,-0.5419166666666682
Mettukuppam,XI,4.143999999999999,5.537333333333333,4.735208333333333,0.15383333333333393
Milk Colony,III,3.6233333333333335,6.83025,5.244645833333333,-3.206916666666667
Moolakadai,III,3.3466666666666662,7.140416666666666,5.167729166666667,-3.7937499999999997
Mottai Thottam,IV,2.685749999999999,3.9189166666666666,3.038875,-1.2189166666666664
Mugalivakkam,XII,9.599777777777778,14.417166666666668,12.277925925925926,
Murugappa Nagar,I,0.31,1.8135,1.3214166666666667,-1.5034999999999998
Muthialpet,V,9.9187,11.328833333333334,10.404272222222222,-1.3388333333333335
Mylapore,IX,3.466666666666667,6.304333333333333,4.524625,-2.8376666666666663
Nakkeerar Nagar,IX,6.336666666666666,14.221083333333338,8.741729166666667,-7.884416666666672
Nandambakkam,XII,3.5666666666666664,5.795583333333333,5.1025,-1.9694166666666675
