S.No.,Area No.,Dept No.,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
103.0,VIII,103,Shenoy Nagar,9.59,9.35,9.24,9.1,8.97,8.88,8.73,5.14,8.38,8.16,6.64,6.179,8.196583333333333,2021
104.0,VIII,104,Purasawalkam,10.01,10.79,11.45,12.29,12.52,12.61,12.21,8.51,11.36,10.64,2.083,3.21,9.806916666666664,2021
105.0,VIII,105,Aminjikarai West,4.05,4.18,5.47,6.14,6.51,7.08,6.11,5.87,4.73,4.33,1.255,2.696,4.868416666666667,2021
106.0,VIII,106,Aminjikarai East,3.9,4.51,4.73,5.09,5.15,5.5,4.51,4.99,3.17,2.96,0.901,1.932,3.94525,2021
107.0,VIII,107,Chetpet / Kilpauk South,11.87,11.83,11.94,11.97,11.88,11.92,11.88,3.12,11.24,10.77,6.171,5.682,10.02275,2021
108.0,VIII,108,Aminjikarai Central,1.87,1.98,2.14,2.45,2.71,2.98,2.02,1.85,1.23,1.1,0.69,1.346,1.8638333333333337,2021
109.0,IX,109,Periyar Nagar North,10.75,11.06,11.21,11.42,11.63,11.75,11.38,10.97,10.7,9.79,3.122,3.992,9.814500000000002,2021
110.0,IX,110,Nungambakkam,12.29,12.11,12.22,12.25,11.96,11.9,11.33,10.47,10.12,9.45,4.132,4.807,10.253250000000001,2021
111.0,IX,111,Thousand Lights,10.93,11.73,12.06,11.29,9.81,9.73,10.04,11.49,11.62,12.09,9.144,9.098,10.75266666666667,2021
112.0,IX,112,Vadapalani East,6.93,7.46,7.96,8.42,8.49,9.06,8.63,10.92,7.67,6.85,2.946,3.778,7.426166666666667,2021
113.0,IX,113,Nakkeerar Nagar,16.21,16.53,16.73,16.96,16.88,17.05,16.62,7.96,15.66,14.96,8.116,6.977,14.221083333333338,2021
114.0,IX,114,Chepauk,6.91,7.12,7.31,7.39,7.31,7.27,6.64,15.98,6.21,5.97,1.637,3.035,6.898499999999999,2021
115.0,IX,115,Amir mahal,9.21,9.48,9.62,9.71,9.61,9.66,9.09,6.22,8.46,8.06,1.856,3.513,7.874083333333334,2021
116.0,IX,116,Thiruvallikeni,8.24,8.3,7.85,8.39,7.98,9.42,8.26,8.56,7.65,6.82,2.605,3.202,7.273083333333333,2021
117.0,IX,117,Sathiyamoorthi Nagar,6.75,6.83,6.81,7.17,6.79,6.67,6.64,7.48,6.93,6.83,2.806,4.65,6.363,2021
118.0,IX,118,Teynampet,11.6,11.07,10.84,10.78,10.32,10.86,10.73,7.16,10.78,10.67,3.801,4.981,9.466,2021
119.0,IX,119,Azad Nagar North / South,13.33,12.34,12.12,11.62,10.87,10.66,10.42,10.53,10.11,9.33,4.254,5.035,10.051583333333333,2021
120.0,IX,120,Krishnampet,9.53,9.21,9.03,8.93,8.9,8.87,8.57,10.3,7.91,7.27,2.443,2.733,7.808,2021
121.0,IX,121,Vivekanandhapuram,4.1,3.71,3.68,3.89,3.54,3.76,3.53,8.18,2.8,2.19,,1.809,3.744454545454545,2021
122.0,IX,122,Alwarpet (South),10.39,10.9,11.58,12.38,11.93,12.02,11.75,3.06,12.11,12.09,4.406,8.546,10.096833333333334,2021
123.0,IX,123,Bhemmannapet,6.64,7.31,7.65,9.12,7.44,8.43,7.87,12.14,6.78,6.49,2.588,5.001,7.288249999999999,2021
124.0,IX,124,Mylapore,7.34,7.08,7.09,7.22,7.25,7.27,7.08,7.18,6.57,5.88,2.462,3.23,6.304333333333333,2021
